GDP Basic Prices,All Industries ,Goods Producing Industries ,Service-Producing Industries ,Manufacturing ,Construction ,Transportation and Warehousing ,Wholesale and Retail Trade ,Finance- Insurance and Real Estate ,Information and Cultural Industries ,Other Services - All,Business Services ,"Education, Health Care, Agriculture, other Primary Industries"
1999.02,21446.5,7091.8,14354.7,5216.0,1251.5,703.4,2308.1,4102.4,467.5,6070.0,1327.6,4742.4
1999.03,21851.5,7306.8,14544.6,5418.2,1268.7,716.4,2343.8,4175.4,473.0,6089.1,1367.0,4722.1
1999.04,22243.1,7426.0,14817.0,5478.1,1314.0,718.8,2405.4,4271.8,475.8,6162.5,1416.7,4745.8
2000.01,22643.3,7651.5,14991.8,5679.2,1300.7,709.9,2452.6,4368.3,493.4,6189.7,1449.4,4740.3
2000.02,22768.5,7636.9,15131.6,5684.2,1277.1,719.8,2485.4,4359.6,503.9,6247.6,1490.8,4756.8
2000.03,23123.3,7724.2,15399.1,5778.8,1261.9,738.2,2512.8,4409.9,513.9,6370.0,1537.8,4832.2
2000.04,23059.3,7634.8,15424.5,5713.2,1264.2,742.8,2506.8,4431.5,525.6,6319.2,1556.0,4763.2
2001.01,23022.3,7495.9,15526.5,5489.2,1341.4,756.0,2517.2,4503.9,542.7,6332.5,1539.5,4793.0
2001.02,23101.3,7533.1,15568.2,5524.0,1340.0,762.4,2507.1,4535.6,558.5,6340.5,1533.2,4807.3
2001.03,23041.4,7399.7,15641.7,5349.9,1343.1,747.9,2527.3,4566.3,574.0,6421.6,1511.3,4910.3
2001.04,23116.0,7361.3,15754.7,5254.7,1383.9,739.0,2514.8,4620.6,591.4,6493.0,1518.6,4974.4
2002.01,23455.9,7555.0,15900.9,5545.5,1387.1,754.2,2594.2,4615.5,581.0,6409.5,1569.0,4840.5
2002.02,23634.5,7740.6,15893.8,5602.6,1413.4,747.9,2606.2,4604.0,587.5,6511.9,1560.9,4951.0
2002.03,23756.3,7736.9,16019.3,5611.0,1408.6,750.3,2641.0,4603.1,599.7,6568.1,1574.5,4993.6
2002.04,23751.1,7563.5,16187.6,5441.8,1415.0,743.7,2655.0,4619.7,614.0,6640.1,1621.9,5018.2
2003.01,23972.8,7724.5,16248.3,5559.6,1421.8,755.6,2717.3,4603.5,609.1,6674.0,1631.9,5042.1
2003.02,23933.6,7674.3,16259.3,5548.6,1445.3,734.9,2734.7,4618.4,610.2,6598.1,1643.4,4954.7
2003.03,23899.2,7574.7,16324.5,5458.8,1454.8,737.2,2732.2,4633.2,617.3,6606.1,1659.7,4946.4
2003.04,24258.2,7814.3,16443.8,5653.5,1487.2,767.2,2788.0,4642.6,625.7,6640.3,1653.7,4986.6
2004.01,24225.9,7632.2,16593.7,5467.2,1454.5,753.9,2810.4,4670.7,666.1,6721.3,1681.9,5039.4
2004.02,24534.5,7708.1,16826.4,5523.9,1484.9,812.1,2830.8,4703.9,682.9,6783.4,1712.6,5070.8
2004.03,24728.7,7798.0,16930.8,5580.7,1514.6,822.6,2833.6,4706.9,692.8,6854.8,1722.8,5132.0
2004.04,24821.2,7813.4,17007.7,5561.4,1547.6,835.2,2872.1,4740.2,697.4,6844.6,1722.7,5121.9
2005.01,24970.4,7827.4,17143.0,5543.4,1552.1,829.5,2957.4,4760.5,698.0,6875.0,1754.5,5120.5
2005.02,25084.1,7768.1,17316.1,5455.6,1579.4,859.2,2955.5,4797.6,700.8,6989.1,1746.9,5242.2
2005.03,25230.0,7770.0,17459.9,5445.9,1591.7,889.1,2975.9,4827.3,706.6,6985.4,1808.0,5177.4
2005.04,25352.4,7679.8,17672.6,5379.1,1602.4,894.5,3043.2,4869.5,709.6,7005.2,1848.8,5156.4
2006.01,25586.2,7725.8,17860.4,5419.5,1632.2,885.2,3117.0,4867.5,713.9,7066.7,1884.1,5182.6
2006.02,25552.4,7652.9,17899.5,5318.6,1653.9,907.7,3117.6,4906.7,712.9,7049.8,1885.2,5164.6
2006.03,25416.3,7475.9,17940.4,5130.4,1680.7,897.7,3108.4,4972.7,712.8,7071.1,1842.5,5228.6
2006.04,25596.5,7488.3,18108.3,5066.7,1732.9,919.5,3136.3,5010.5,702.9,7155.7,1872.1,5283.6
2007.01,25408.8,7215.0,18193.8,4986.8,1597.6,908.6,3216.1,5056.5,689.5,7044.7,1909.0,5135.7
2007.02,25690.2,7350.8,18339.4,4979.6,1719.1,934.1,3238.3,5066.8,690.9,7129.1,1932.2,5196.9
2007.03,26006.1,7432.8,18573.3,4942.5,1860.1,941.3,3238.8,5108.8,692.0,7238.6,1984.1,5254.5
2007.04,26031.1,7301.7,18729.5,4810.0,1862.1,925.0,3272.2,5125.3,690.6,7368.2,1977.8,5390.4
2008.01,25703.3,7054.0,18649.2,4612.0,1776.6,963.2,3263.3,5122.9,678.9,7335.1,1951.3,5383.8
2008.02,25744.1,7074.3,18669.8,4644.6,1737.8,979.9,3260.8,5112.4,670.7,7385.7,1952.2,5433.5
2008.03,25741.1,7037.8,18703.3,4630.0,1697.1,989.2,3276.7,5112.3,668.0,7418.8,1949.1,5469.7
2008.04,25052.3,6644.9,18407.4,4315.3,1654.6,942.5,3162.3,5062.9,659.2,7338.7,1916.8,5421.9
2009.01,24296.9,6036.9,18259.9,3772.3,1656.2,852.3,3038.2,5086.9,664.2,7386.2,1840.5,5545.7
2009.02,24297.2,5973.1,18324.1,3695.3,1702.5,919.9,3078.9,5136.1,655.3,7274.0,1835.3,5438.7
2009.03,24825.1,6271.1,18554.0,3902.6,1786.4,955.7,3210.0,5138.8,648.5,7313.4,1869.7,5443.7
2009.04,25063.3,6402.1,18661.2,3962.0,1871.6,916.1,3306.6,5177.8,649.3,7296.8,1883.1,5413.7
2010.01,25218.2,6503.8,18714.4,4057.1,1888.3,918.2,3364.6,5185.1,653.9,7275.8,1875.3,5400.5
2010.02,25490.4,6635.1,18855.3,4180.3,1871.1,957.2,3387.0,5231.9,656.5,7322.6,1883.7,5438.9
2010.03,25611.6,6664.2,18947.4,4184.8,1876.0,948.3,3422.4,5255.2,663.7,7373.7,1887.4,5486.3
2010.04,25669.7,6590.0,19079.8,4148.7,1842.3,943.1,3479.3,5335.4,674.1,7345.0,1901.8,5443.2
2011.01,25787.1,6721.2,19066.0,4246.3,1857.9,952.8,3510.3,5335.1,681.0,7289.3,1914.3,5375.0
2011.02,25787.9,6647.8,19140.2,4136.2,1877.5,909.4,3491.1,5341.6,689.1,7424.0,1919.0,5505.0
2011.03,26163.0,6874.3,19288.7,4300.2,1941.3,957.2,3539.9,5400.9,696.8,7421.7,1905.0,5516.7
2011.04,26271.9,6906.5,19365.4,4345.5,1958.7,928.1,3521.3,5427.4,708.9,7388.3,1993.6,5394.7
2012.01,26249.6,6838.1,19411.5,4292.3,1969.4,916.5,3553.4,5468.2,722.0,7356.9,1970.9,5386.0
2012.02,26390.7,6974.7,19416.0,4397.2,1973.8,953.7,3510.8,5480.4,736.1,7354.9,1983.9,5371.0
2012.03,26358.3,6885.0,19473.3,4332.4,1954.4,914.4,3469.6,5495.5,751.6,7457.3,1983.1,5474.2
2012.04,26176.1,6723.0,19453.1,4151.0,1987.6,883.4,3446.4,5527.3,759.9,7454.3,1966.1,5488.2
2013.01,26220.7,6734.0,19486.6,4121.8,2023.6,885.3,3412.1,5572.9,767.7,7437.1,2000.2,5436.9
2013.02,26374.8,6731.4,19643.3,4142.2,2002.5,874.0,3444.1,5630.2,780.1,7479.4,2022.3,5457.1
2013.03,26453.1,6685.9,19767.3,4127.0,1982.2,859.6,3478.1,5670.2,793.2,7500.6,2042.3,5458.3
2013.04,26495.1,6719.4,19775.7,4142.2,2011.7,849.1,3477.5,5668.6,800.5,7491.2,2054.3,5436.9
2014.01,26735.9,6818.1,19917.8,4213.1,2016.5,879.1,3519.1,5711.5,789.7,7553.5,2053.4,5500.1
