"Period","Ottawa and Gatineau","Kingston","Oshawa","Toronto","St. Catharines-Niagara","Hamilton","Kitchener","Sudbury","London","Windsor","Thunder Bay","Winnipeg","Regina","Saskatoon","Edmonton","Calgary","Abbotsford","Vancouver","Victoria","Saint John","St. John's","Halifax","Montreal","Quebec City","Saguenay","Sherbrooke","Trois-Rivières"
2011.04,63027.91,6887.48,10962.87,288339.64,13703.51,26271.89,23856.20,8041.94,20277.05,11715.74,4578.62,33403.05,12405.78,15318.50,76922.65,105413.40,5475.12,108775.43,14953.76,5135.50,13174.46,17986.58,159088.14,32418.01,5326.29,6783.76,5931.30
2012.01,62909.70,6854.73,10911.77,288728.69,13642.96,26249.60,23872.78,7875.95,20196.76,11683.11,4556.72,33412.58,12364.67,15320.94,78582.68,107289.28,5529.83,108930.07,14847.65,5132.66,12379.91,18072.73,159387.98,32360.26,5324.93,6768.58,5921.97
2012.02,62779.59,6889.82,11129.29,291250.31,13780.23,26390.65,24179.67,7855.36,20341.47,11802.85,4598.08,33522.11,12635.21,15639.09,78983.73,107080.08,5552.62,109719.50,14917.06,5105.27,12421.98,17877.89,160443.30,32681.19,5352.05,6796.96,5843.13
2012.03,62557.28,6897.69,11170.70,291435.07,13803.21,26358.32,24250.08,7805.40,20329.94,11802.96,4605.47,33822.79,12894.01,15902.84,79593.14,107246.10,5616.18,111069.19,15113.55,5038.38,12102.70,18368.79,160887.76,32690.22,5367.51,6807.56,5810.33
2012.04,62458.86,6878.27,11120.13,290457.11,13737.07,26176.08,24138.70,7835.17,20203.10,11700.94,4581.69,33265.55,12979.96,16082.85,80113.24,108089.11,5616.07,111093.69,15009.09,5153.15,12691.56,18251.33,162940.96,33044.48,5444.67,6874.38,5899.97
2013.01,62577.71,6898.53,11151.52,292256.69,13760.07,26220.67,24235.52,7925.73,20214.20,11710.26,4605.48,33687.90,13061.62,16349.24,82078.53,110612.84,5636.96,111740.83,14972.66,5132.49,12999.31,18319.67,162463.68,32934.62,5429.90,6856.07,5817.23
2013.02,62732.48,6934.00,11256.86,295221.83,13853.41,26374.77,24484.45,7949.54,20333.51,11798.75,4643.14,33821.41,13364.02,16754.27,82547.93,110084.68,5702.56,112867.49,15025.54,5153.33,13235.60,18485.19,162669.17,32928.73,5400.16,6813.73,5755.02
2013.03,62870.37,6958.46,11342.89,297295.74,13930.92,26453.14,24692.79,7877.75,20425.31,11871.71,4677.95,34004.48,13470.29,16923.64,83970.09,112060.09,5734.56,113472.40,15020.46,5105.69,13251.78,18622.61,164391.56,33235.40,5454.82,6869.18,5758.46
2013.04,62870.08,6995.57,11392.12,298499.88,13986.22,26495.13,24778.90,8010.73,20480.15,11933.63,4689.43,34007.36,13596.25,17126.81,84865.33,112882.64,5769.21,113950.99,14975.76,5156.26,13104.39,18715.31,165278.05,33281.66,5470.00,6901.76,5755.73
2014.01,63009.09,7023.03,11461.86,300633.10,14055.21,26735.92,24973.25,8016.67,20605.22,11948.10,4696.81,34200.19,13654.43,17087.38,84988.37,113813.90,5812.57,114790.00,15110.19,5185.46,13231.97,18829.64,165689.00,33476.98,5486.43,6947.45,5775.33
2014.02,63196.81,7055.64,11535.42,302705.70,14117.77,26878.76,25155.16,8052.20,20709.41,11995.91,4714.80,34375.79,13763.25,17209.40,85644.79,114757.90,5855.15,115613.00,15172.44,5214.95,13332.83,18964.16,166589.70,33637.31,5505.04,6983.70,5787.45
2014.03,63418.11,7088.46,11611.42,304814.40,14178.14,27020.11,25340.09,8089.61,20815.86,12042.22,4732.62,34571.85,13869.08,17331.18,86290.07,115687.00,5897.24,116475.50,15241.50,5244.29,13423.35,19106.12,167530.00,33801.90,5522.86,7019.98,5804.53
2014.04,63675.81,7120.92,11686.07,306967.30,14236.33,27159.75,25527.78,8128.90,20924.58,12087.03,4750.33,34787.89,13972.26,17452.43,86932.38,116597.20,5938.78,117375.20,15316.23,5273.50,13503.46,19255.54,168509.80,33972.86,5539.90,7056.44,5826.60
2015.01,64050.01,7156.95,11761.47,309147.30,14297.69,27300.41,25744.85,8177.24,21048.96,12121.22,4770.83,35076.49,14085.28,17585.54,87518.42,117418.80,5982.73,118432.00,15416.75,5301.65,13573.81,19455.61,169726.40,34130.65,5557.55,7094.54,5866.34
2015.02,64363.17,7189.98,11836.12,311407.30,14353.74,27442.89,25932.65,8218.80,21161.78,12169.88,4788.34,35320.60,14181.45,17705.48,88184.31,118339.60,6024.70,119399.40,15500.74,5332.14,13634.81,19607.86,170737.60,34279.67,5573.51,7131.91,5894.25
2015.03,64690.12,7222.81,11910.99,313735.90,14408.32,27587.38,26115.89,8260.26,21274.70,12222.75,4805.35,35569.47,14272.16,17822.72,88874.69,119281.70,6066.66,120383.50,15586.39,5363.61,13686.42,19753.65,171730.10,34436.81,5588.85,7169.60,5922.68
2015.04,65036.00,7256.03,11987.38,316161.10,14462.94,27736.77,26296.32,8302.15,21389.36,12280.98,4822.29,35826.24,14358.33,17938.62,89596.06,120253.10,6109.32,121398.90,15675.88,5396.51,13729.31,19894.93,172716.00,34587.73,5603.86,7208.08,5951.96
2016.01,65413.02,7290.04,12062.45,318914.70,14511.48,27883.54,26491.04,8343.69,21505.86,12356.17,4837.14,36101.06,14425.53,18049.72,90434.85,121337.60,6151.49,122475.10,15770.75,5435.12,13744.44,20019.06,173623.30,34814.11,5616.96,7249.71,5982.45
2016.02,65773.93,7321.66,12137.80,321366.70,14562.90,28034.94,26652.47,8384.77,21617.69,12416.02,4853.16,36357.62,14504.44,18159.28,91161.54,122305.70,6193.24,123484.80,15859.39,5467.50,13775.04,20149.08,174579.90,35013.28,5630.66,7287.01,6012.04
2016.03,66140.70,7352.45,12213.33,323788.30,14614.08,28189.29,26801.15,8425.65,21728.24,12474.46,4869.16,36612.30,14582.71,18266.47,91874.25,123256.30,6234.83,124487.30,15947.50,5498.81,13803.42,20276.26,175537.60,35210.43,5644.07,7323.28,6041.74
2016.04,66518.26,7383.03,12290.38,326209.70,14666.52,28349.34,26938.82,8466.85,21839.18,12532.69,4885.55,36868.36,14661.40,18372.64,92579.09,124197.10,6277.01,125497.90,16037.21,5529.49,13830.14,20402.59,176508.30,35405.22,5657.53,7359.02,6071.90
2017.01,66904.75,7409.67,12371.93,328542.70,14717.76,28521.74,27026.97,8506.30,21945.33,12590.02,4901.87,37163.41,14744.25,18477.22,93266.06,125089.60,6317.83,126487.30,16124.06,5567.47,13798.05,20529.01,177600.80,35616.24,5670.74,7394.08,6106.55
2017.02,67290.69,7439.58,12446.82,330921.50,14769.50,28682.74,27153.04,8547.49,22054.24,12644.79,4918.06,37398.11,14819.34,18577.82,93941.83,126004.60,6359.86,127483.40,16212.79,5592.48,13842.50,20647.61,178520.30,35799.75,5683.44,7427.43,6135.04
2017.03,67674.07,7469.03,12518.07,333254.70,14819.24,28838.80,27278.48,8588.37,22160.76,12696.29,4933.63,37610.03,14890.38,18673.81,94596.09,126902.90,6401.12,128456.10,16298.90,5612.46,13906.23,20759.26,179375.10,35969.64,5695.33,7458.93,6161.42
2017.04,68059.95,7498.65,12587.08,335571.00,14868.52,28992.82,27405.12,8629.46,22266.60,12745.71,4949.02,37802.40,14958.41,18766.57,95235.24,127792.80,6442.39,129421.30,16384.51,5627.85,13989.97,20866.00,180177.60,36130.26,5706.76,7489.08,6186.03
2018.01,68447.81,7528.39,12653.70,337864.40,14917.18,29144.45,27532.77,8670.69,22371.61,12792.93,4964.19,37974.90,15023.32,18855.92,95858.63,128673.40,6483.58,130377.20,16469.41,5630.59,14093.68,20967.49,180926.30,36281.38,5717.69,7517.81,6208.82
2018.02,68843.33,7558.91,12719.48,340170.10,14966.83,29296.93,27663.40,8712.69,22477.62,12839.23,4979.59,38131.15,15086.31,18943.41,96473.41,129553.80,6525.55,131341.20,16555.98,5637.49,14218.14,21066.09,181634.80,36422.87,5728.51,7545.66,6230.17
2018.03,69236.40,7588.98,12781.60,342428.40,15014.50,29444.50,27793.38,8754.35,22581.23,12882.25,4994.38,38264.64,15145.20,19026.21,97066.78,130417.80,6566.76,132281.90,16639.95,5649.93,14361.91,21157.67,182278.60,36550.68,5738.51,7571.65,6249.42
2018.04,69632.09,7619.21,12841.48,344668.70,15061.67,29590.05,27924.51,8796.21,22684.14,12923.18,5008.99,38378.61,15201.06,19105.69,97645.15,131273.40,6607.97,133214.80,16723.45,5660.37,14525.73,21244.32,182869.90,36671.55,5748.05,7596.28,6266.88
